"Name","Location","Date","Value","Unit"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-01,7989122,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-02,7476883,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-03,10480777,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-04,10693749,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-05,9912189,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-06,8355875,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-07,7832174,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-08,10086807,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-09,13549569,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-10,11686214,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-11,10664885,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-12,10908520,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-13,7909853,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-14,7132439,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-15,9610359,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-16,10269801,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-17,12008354,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-18,11731618,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-19,10837408,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-20,9608483,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-21,7951018,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-22,9440507,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-23,11149820,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-24,9877529,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-25,11300278,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-26,10789162,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-27,8155609,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-28,6871115,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-29,9233626,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-30,10899889,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-01-31,11607031,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-01,11867576,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-02,10851372,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-03,8030222,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-04,7557130,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-05,12203268,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-06,11980059,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-07,13041073,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-08,11867084,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-09,10676938,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-10,8883407,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-11,7336154,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-12,13331673,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-13,12153477,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-14,11785293,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-15,10851120,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-16,11604955,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-17,8325721,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-18,8213262,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-19,9646486,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-20,10126225,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-21,10740604,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-22,11454073,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-23,10259293,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-24,8238576,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-25,8804148,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-26,12112680,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-27,13693833,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-02-28,12887700,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-01,12429576,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-02,9863148,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-03,7289396,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-04,8504689,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-05,13389664,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-06,12611041,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-07,11091584,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-08,10497806,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-09,10776716,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-10,10211456,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-11,8204468,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-12,9891033,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-13,10671414,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-14,10328094,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-15,9537000,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-16,9776079,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-17,8119683,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-18,9652391,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-19,12714173,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-20,9988659,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-21,11268740,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-22,10887196,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-23,9975289,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-24,17809298,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-25,8582959,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-26,9795159,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-27,11151390,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-28,10031005,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-29,10242933,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-30,10801236,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-03-31,8042022,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-01,9071115,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-02,9670224,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-03,9341532,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-04,10056363,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-05,10935736,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-06,9935201,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-07,7885646,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-08,7713509,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-09,7762341,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-10,10557479,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-11,10906594,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-12,9713426,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-13,9307621,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-14,7596917,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-15,7237886,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-16,8895314,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-17,10303748,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-18,9302276,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-19,8623593,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-20,7963698,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-21,6615410,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-22,6927849,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-23,8545775,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-24,8867426,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-25,9258484,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-26,9385020,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-27,9278578,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-28,7499776,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-29,7417834,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-04-30,10086889,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-01,9903798,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-02,9603469,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-03,9497611,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-04,9167642,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-05,6545726,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-06,5842186,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-07,7276493,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-08,5926452,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-09,8196052,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-10,9205515,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-11,8321905,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-12,6936433,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-13,6677336,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-14,7248706,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-15,9749901,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-16,9126599,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-17,8303468,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-18,7938073,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-19,5822772,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-20,5446731,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-21,7391121,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-22,9404096,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-23,8594461,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-24,7704474,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-25,7389486,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-26,5511779,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-27,5474897,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-28,8107708,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-29,7724857,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-30,7425042,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-05-31,7460027,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-01,6607716,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-02,5366529,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-03,5747580,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-04,6506382,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-05,5625363,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-06,7425189,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-07,7164196,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-08,6751372,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-09,5648121,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-10,5423246,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-11,6157205,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-12,8916321,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-13,7313679,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-14,7381472,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-15,7273885,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-16,5650496,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-17,5396154,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-18,7307126,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-19,7748022,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-20,7491286,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-21,7612829,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-22,7604937,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-23,5636271,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-24,5097962,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-25,6640247,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-26,7444878,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-27,7102288,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-28,7084694,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-29,6575603,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-06-30,4955459,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-07-01,5083204,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-07-02,6760057,"kWh"
"DM - Forecast EOD gas consumption for Gas Day","DM",2018-07-03,6771543,"kWh"
